1037635,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO CONG.-CX MB,UN,P,D,982,4191,776,10,17,2021-08-13T16:28:09,0,0,2970,5,2021-08-13T16:30:03,10,0,0,2732,468,20210813,admin,82720,313251,00003-771,180,CX,UN,3,52,D
1036719,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO CONG.-CX MB,UN,P,D,985,4191,776,10,17,2021-08-13T05:16:47,0,0,2970,5,2021-08-13T05:47:07,10,0,0,2729,468,20210813,admin,82720,313251,00003-771,180,CX,UN,3,52,D
1037635,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO CONGELADO - FSB,UN,P,D,982,4191,776,10,17,2021-08-13T16:28:09,0,0,2970,5,2021-08-13T16:30:03,10,0,0,2732,211,20210813,admin,82740,17751,00003-041,30,BJ,UN,3,33,D
1036719,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO CONGELADO - FSB,UN,P,D,985,4191,776,10,17,2021-08-13T05:16:47,0,0,2970,5,2021-08-13T05:47:07,10,0,0,2729,211,20210813,admin,82740,17751,00003-041,30,BJ,UN,3,33,D
1037635,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO SECO - FSB,UN,P,D,982,4191,776,10,17,2021-08-13T16:28:09,0,0,2970,5,2021-08-13T16:30:03,10,0,0,2732,399,20210813,admin,82740,1353,00003-075,30,BJ,UN,2,37,D
1036719,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,3,PAO SECO - FSB,UN,P,D,985,4191,776,10,17,2021-08-13T05:16:47,0,0,2970,5,2021-08-13T05:47:07,10,0,0,2729,399,20210813,admin,82740,1353,00003-075,30,BJ,UN,2,37,D
1036724,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,4,PAO INTEGRAL CONG.-CX MB,UN,P,D,95,4191,178,2,4,2021-08-13T05:16:52,0,0,780,1,2021-08-13T05:47:07,10,0,0,856,469,20210813,admin,82720,313306,03867-771,270,CX,UN,3,52,D
1036724,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,4,PAO INTEGRAL CONGELADO FSB,UN,P,D,95,4191,178,2,4,2021-08-13T05:16:52,0,0,780,1,2021-08-13T05:47:07,10,0,0,856,213,20210813,admin,82740,17742,03867-012,60,BJ,UN,3,33,D
1036724,39953,2021-08-13T00:00:00,D,2021-08-12T00:00:00,4,PAO INTEGRAL SECO - FSB,UN,P,D,95,4191,178,2,4,2021-08-13T05:16:52,0,0,780,1,2021-08-13T05:47:07,10,0,0,856,400,20210813,admin,82740,1370,03867-009,60,BJ,UN,2,37,D
1037632,40003,2021-08-13T00:00:00,D,2021-08-12T00:00:00,2,PAO CONG.-CAIXA MB,UN,P,D,1879,4191,1287,27,33,2021-08-13T16:28:08,0,0,4020,12,2021-08-13T16:30:03,10,0,0,3356,470,20210813,admin,82720,313293,00002-771,270,CX,UN,3,52,D
